,Артикул,Бренд,Для кого,Примерный вес,Тип металла,Проба,Покрытие,Тип вставки,Форма вставки,Количество,Цвет,Вес,Цветность,Чистота,Огранка,Тип вставки 2,Форма вставки 2,Количество 2,Цвет 2,Вес 2,Цветность 2,Чистота 2,Огранка 2,Цена со скидкой,Цена без скидки,Номер страницы,Ширина кольца,Ширина,Высота,Длина,Размеры вставки,Коллекция,Тип вставки 3,Форма вставки 3,Количество 3,Цвет 3,Вес 3,Цветность 3,Чистота 3,Тип вставки 4,Форма вставки 4,Количество 4,Цвет 4,Вес 4,Размеры вставки 2,Тип вставки 5,Форма вставки 5,Количество 5,Цвет 5,Вес 5,Размеры вставки 3,Размеры вставки 4,Размеры вставки 5,Тип вставки 6,Форма вставки 6,Количество 6,Цвет 6,Вес 6,Размеры вставки 6,Тип вставки 7,Форма вставки 7,Количество 7,Цвет 7,Вес 7,Размеры вставки 7,Тип вставки 8,Форма вставки 8,Количество 8,Цвет 8,Вес 8,Размеры вставки 8,Тип вставки 9,Форма вставки 9,Количество 9,Цвет 9,Вес 9,Размеры вставки 9,Огранка 3,Цветность 4,Чистота 4,Огранка 4,Тип вставки 10,Форма вставки 10,Количество 10,Цвет 10,Вес 10,Размеры вставки 10,Тип вставки 11,Форма вставки 11,Количество 11,Цвет 11,Вес 11,Размеры вставки 11,Тип вставки 12,Форма вставки 12,Количество 12,Цвет 12,Вес 12,Размеры вставки 12,Тип вставки 13,Форма вставки 13,Количество 13,Цвет 13,Вес 13,Размеры вставки 13,Тип вставки 14,Форма вставки 14,Количество 14,Цвет 14,Вес 14,Размеры вставки 14
666,92011571,SOKOLOV,Для женщин,2.37 г,Родированное серебро,925,,Фианит,Круг,12 шт,Бесцветный,0.102 карат,,,,Хризолит,Круг,1 шт,Зелёный,0.9 карат,,,,2040,6790,10,,,,,1 мм,,,,,,,,,,,,,,6 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,92011412,SOKOLOV,Для женщин,2.58 г,Родированное серебро,925,Эмаль,Лондон топаз,Круг,1 шт,Голубой,0.556 карат,,,,Фианит,Круг,24 шт,Бесцветный,0.204 карат,,,,2250,7490,10,,,,,5 мм,,Эмаль,,1 шт,,0.48 карат,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,1010690,SOKOLOV,Для женщин,1.89 г,Белое золото,585,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.26 карат,3,6,,,,,,,,,,162000,359990,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,1011588,SOKOLOV,Для женщин,1.23 г,Жёлтое золото,585,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.157 карат,3,6,,,,,,,,,,90000,199990,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,93010677,SOKOLOV,Для женщин,1.92 г,Золочёное серебро,925,"Золочение,  Родирование",Фианит,Круг,14 шт,Бесцветный,0.119 карат,,,,,,,,,,,,2160,4790,10,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,017146,SOKOLOV,Для женщин,1.82 г,Красное золото,585,Родирование,Фианит,Круг,1 шт,Бесцветный,0.618 карат,,,,Фианит,Круг,2 шт,Бесцветный,0.594 карат,,,,23850,52990,10,1 мм,,,,"4, 5 мм",,Фианит,Круг,2 шт,Бесцветный,0.901 карат,,,,,,,,"3, 5 мм",,,,,,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,1011987,SOKOLOV,Для женщин,1.48 г,Белое золото,585,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.081 карат,3,6,,,,,,,,,,26400,87990,10,2 мм,5 мм,4 мм,5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,1012178-2,SOKOLOV,Для женщин,3 г,Жёлтое золото,585,Родирование,Бриллиант (природный),Круг,5 шт,Бесцветный,0.333 карат,3,6,,Бриллиант (природный),Круг,8 шт,Бесцветный,0.236 карат,3,6,,153000,339990,10,3 мм,6 мм,2 мм,,,PREMIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,4010033,SOKOLOV,Для женщин,2.06 г,Красное золото,585,,Рубин,Маркиз,7 шт,Красный,0.582 карат,2,2,,Бриллиант (природный),Круг,8 шт,Бесцветный,0.062 карат,2,3,,76500,169990,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,715590,SOKOLOV,Для женщин,2.74 г,Красное золото,585,,Гранат,Груша,1 шт,Красный,0.49 карат,,,,Гранат,Маркиз,2 шт,Красный,0.206 карат,,,,26100,57990,10,2 мм,13 мм,5 мм,18 мм,6 мм * 4 мм,,Гранат,Маркиз,7 шт,Красный,1.254 карат,,,,,,,,4 мм * 2 мм,,,,,,"5 мм * 2, 5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,89010008,SOKOLOV,Для женщин,1.33 г,Родированное серебро,925,,Фианит,Круг,1 шт,Бесцветный,1.166 карат,,,,Фианит,Круг,2 шт,Бесцветный,0.407 карат,,,,2430,5390,10,,,,,"5, 5 мм",,,,,,,,,,,,,,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,94012419,SOKOLOV,Для женщин,2.75 г,Родированное серебро,925,Родирование,Фианит,Круг,8 шт,Бесцветный,0.068 карат,,,,Фианит,Круг,19 шт,Бесцветный,0.314 карат,,,,2790,6190,10,,,,,1 мм,,,,,,,,,,,,,,"1, 25 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,7010085-3,SOKOLOV,Для женщин,1.48 г,Белое золото,585,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.11 карат,3,6,,Черный бриллиант,Круг,26 шт,Чёрный,0.091 карат,7,6,,90000,199990,10,2 мм,3 мм,3 мм,,,,Черный бриллиант,Круг,8 шт,Чёрный,0.034 карат,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,94012830,SOKOLOV,Для женщин,1.94 г,Родированное серебро,925,Родирование,Фианит,Круг,1 шт,Бесцветный,2.246 карат,,,,,,,,,,,,2520,5590,10,2 мм,7 мм,5 мм,17 мм,7 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,1011615-2,SOKOLOV,Для женщин,3.65 г,Жёлтое золото,585,Родирование,Бриллиант (природный),Круг,12 шт,Бесцветный,0.044 карат,2,3,,,,,,,,,,76500,169990,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,1011662,SOKOLOV,Для женщин,2.59 г,Комбинированное золото,585,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.081 карат,3,6,,,,,,,,,,45000,224990,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,1011796,SOKOLOV,Для женщин,2.22 г,Комбинированное золото,585,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.081 карат,3,6,,Бриллиант (природный),Круг,4 шт,Бесцветный,0.015 карат,2,3,,56250,124990,10,2 мм,7 мм,6 мм,8 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,81010390,SOKOLOV,Для женщин,2.27 г,Белое золото,585,,Фианит,Круг,1 шт,Бесцветный,0.459 карат,,,,Фианит,Круг,6 шт,Бесцветный,0.369 карат,,,,21000,69990,10,2 мм,6 мм,3 мм,18 мм,4 мм,,,,,,,,,,,,,,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,89010102,SOKOLOV,Для женщин,1.73 г,Золочёное серебро,925,Золочение,Фианит,Круг,1 шт,Бесцветный,2.288 карат,,,,,,,,,,,,1710,3790,10,,,,,7 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,018593,SOKOLOV,Для женщин,2.03 г,Красное золото,585,Родирование,Без вставок,,,,,,,,,,,,,,,,23850,52990,10,2 мм,10 мм,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,94012367,SOKOLOV,Для женщин,1.59 г,Родированное серебро,925,Родирование,Фианит,Круг,1 шт,Бесцветный,0.122 карат,,,,Фианит,Круг,16 шт,Бесцветный,0.136 карат,,,,1980,4390,10,,,,,"2, 5 мм",,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,1011723,SOKOLOV,Для женщин,2.55 г,Белое золото,585,"Алмазная грань,  Родирование",Бриллиант (природный),Круг,1 шт,Бесцветный,0.081 карат,3,6,,Бриллиант (природный),Круг,16 шт,Бесцветный,0.059 карат,2,3,,52500,174990,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,1011068,SOKOLOV,Для женщин,1.7 г,Комбинированное золото,585,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.111 карат,3,6,А,,,,,,,,,67500,149990,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,1011698,SOKOLOV,Для женщин,3 г,Комбинированное золото,585,"Алмазная грань,  Родирование",Бриллиант (природный),Круг,15 шт,Бесцветный,0.081 карат,2,3,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.054 карат,3,6,,65250,144990,10,2 мм,7 мм,5 мм,7 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,1011818,SOKOLOV,Для женщин,2.38 г,Комбинированное золото,585,Родирование,Бриллиант (природный),Круг,8 шт,Бесцветный,0.126 карат,3,6,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.092 карат,3,6,,101250,224990,10,2 мм,8 мм,5 мм,8 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,1011873,SOKOLOV,Для женщин,2.46 г,Комбинированное золото,585,Родирование,Бриллиант (природный),Круг,20 шт,Бесцветный,0.074 карат,2,3,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.067 карат,3,6,,78750,174990,10,2 мм,9 мм,5 мм,9 мм,,,Бриллиант (природный),Круг,4 шт,Бесцветный,0.063 карат,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,1011965,SOKOLOV,Для женщин,0.99 г,Комбинированное золото,585,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.008 карат,2,3,,,,,,,,,,21600,47990,10,2 мм,5 мм,4 мм,5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,1012006,SOKOLOV,Для женщин,1.16 г,Красное золото,585,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.067 карат,3,6,,,,,,,,,,44100,97990,10,2 мм,4 мм,4 мм,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,1012126,SOKOLOV,Для женщин,3.34 г,Красное золото,585,Родирование,Бриллиант (природный),Круг,23 шт,Бесцветный,0.116 карат,2,3,А,,,,,,,,,63000,139990,10,2 мм,11 мм,5 мм,11 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,7010079,SOKOLOV,Для женщин,2.52 г,Комбинированное золото,585,Родирование,Черный бриллиант,Круг,7 шт,Чёрный,0.03 карат,7,6,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.008 карат,2,3,,47250,104990,10,2 мм,10 мм,6 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,81010285,SOKOLOV,Для женщин,1.3 г,Красное золото,585,Родирование,Фианит,Круг,1 шт,Бесцветный,0.917 карат,,,,,,,,,,,,19350,42990,10,,,,,5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,81010546,SOKOLOV,Для женщин,1.32 г,Комбинированное золото,585,Родирование,Фианит,Круг,1 шт,Бесцветный,0.204 карат,,,,,,,,,,,,15000,49990,10,2 мм,5 мм,3 мм,,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,89010014,SOKOLOV,Для женщин,2.11 г,Родированное серебро,925,,Фианит,Круг,1 шт,Бесцветный,3.371 карат,,,,Фианит,Круг,2 шт,Бесцветный,0.084 карат,,,,1890,4190,10,,,,,8 мм,,Фианит,Круг,2 шт,Бесцветный,0.123 карат,,,,,,,,"1, 75 мм",,,,,,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,89010030,SOKOLOV,Для женщин,1.77 г,Родированное серебро,925,,Фианит,Круг,1 шт,Бесцветный,2.288 карат,,,,,,,,,,,,2340,5190,10,,,,,7 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,94011860,SOKOLOV,Для женщин,3.03 г,Родированное серебро,925,,Фианит,Круг,24 шт,Бесцветный,0.684 карат,,,,,,,,,,,,2520,5590,10,,,,,"1, 5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,94012472,SOKOLOV,Для женщин,2.12 г,Родированное серебро,925,Золочение,Фианит,Маркиз,6 шт,Бесцветный,0.682 карат,,,,,,,,,,,,2070,4590,10,,,,,4 мм * 2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,94012888,SOKOLOV,Для женщин,2.46 г,Родированное серебро,925,,Фианит,Круг,18 шт,Бесцветный,0.153 карат,,,,,,,,,,,,1890,4190,11,2 мм,10 мм,3 мм,20 мм,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,94013197,SOKOLOV,Для женщин,4.1 г,Родированное серебро,925,,Фианит,Круг,19 шт,Жёлтый,0.169 карат,,,,Фианит,Круг,21 шт,Зелёный,0.179 карат,,,,3600,11990,11,2 мм,19 мм,4 мм,,1 мм,,Фианит,Круг,20 шт,Синий,0.1 карат,,,Фианит,Круг,22 шт,Сиреневый,0.198 карат,1 мм,,,,,,1 мм,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,017293,SOKOLOV,Для женщин,1.02 г,Красное золото,585,"Алмазная грань,  Родирование",Без вставок,,,,,,,,,,,,,,,,14850,32990,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,018956,SOKOLOV,Для женщин,1.73 г,Красное золото,585,,Без вставок,,,,,,,,,,,,,,,,23850,52990,11,2 мм,9 мм,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,1011396,SOKOLOV,Для женщин,0.74 г,Красное золото,585,Родирование,Бриллиант (природный),Круг,15 шт,Бесцветный,0.044 карат,2,3,,,,,,,,,,21600,47990,11,1 мм,2 мм,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,1011497,SOKOLOV,Для женщин,1.12 г,Красное золото,585,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.036 карат,3,6,,,,,,,,,,28350,62990,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,1011498,SOKOLOV,Для женщин,1.1 г,Белое золото,585,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.036 карат,3,6,,,,,,,,,,28350,62990,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,1011807,SOKOLOV,Для женщин,0.94 г,Белое золото,585,,Бриллиант (природный),Круг,9 шт,Бесцветный,0.033 карат,2,3,,,,,,,,,,21600,47990,11,,2 мм,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,1011932,SOKOLOV,Для женщин,1.12 г,Белое золото,585,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.008 карат,2,3,,,,,,,,,,23850,52990,11,2 мм,3 мм,3 мм,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,1012112,SOKOLOV,Для женщин,1.15 г,Красное золото,585,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.007 карат,2,3,А,,,,,,,,,14400,47990,11,2 мм,4 мм,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,87010049,SOKOLOV,Для женщин,4.6 г,Родированное серебро,925,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.004 карат,2,3,,,,,,,,,,4270,9490,11,8 мм,10 мм,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,87010069,SOKOLOV,Для женщин,1.34 г,Родированное серебро,925,Родирование,Бриллиант (природный),Круг,5 шт,Бесцветный,0.019 карат,2,3,,,,,,,,,,6070,13490,11,2 мм,3 мм,2 мм,13 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,94010700,SOKOLOV,Для женщин,1.29 г,Родированное серебро,925,,Фианит,Круг,40 шт,Чёрный,0.164 карат,,,,,,,,,,,,2880,6390,11,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,94013073,SOKOLOV,Для женщин,2.01 г,Родированное серебро,925,Родирование,Фианит,Круг,1 шт,Бесцветный,0.201 карат,,,,,,,,,,,,2070,4590,11,2 мм,6 мм,4 мм,6 мм,3 мм,SKLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,94013229,SOKOLOV,Для женщин,0.92 г,Родированное серебро,925,Родирование,Без вставок,,,,,,,,,,,,,,,,1440,3190,11,1 мм,3 мм,3 мм,6 мм,,SKLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,94013233,SOKOLOV,Для женщин,1.17 г,Родированное серебро,925,,Без вставок,,,,,,,,,,,,,,,,1350,2990,11,2 мм,2 мм,2 мм,,,SKLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,94013320,SOKOLOV,Для женщин,1.27 г,Родированное серебро,925,,Без вставок,,,,,,,,,,,,,,,,2340,5190,11,2 мм,6 мм,2 мм,5 мм,,SKLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,95010132,SOKOLOV,Для женщин,3.96 г,Чернёное серебро,925,,Без вставок,,,,,,,,,,,,,,,,2700,5990,11,10 мм,10 мм,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,95010196,SOKOLOV,Для женщин,6.13 г,Золочёное серебро,925,Золочение,Без вставок,,,,,,,,,,,,,,,,7650,16990,11,9 мм,9 мм,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,94013263,SOKOLOV,Для женщин,2.88 г,Родированное серебро,925,Эмаль,Эмаль,,1 шт,,0.48 карат,,,,,,,,,,,,2970,6590,11,3 мм,6 мм,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,94010513,SOKOLOV,Для женщин,2.59 г,Родированное серебро,925,,Фианит,Круг,3 шт,Бесцветный,0.197 карат,,,,Фианит,Круг,15 шт,Бесцветный,0.248 карат,,,,2790,6190,11,,,,,2 мм,,,,,,,,,,,,,,"1, 25 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,94013634,SOKOLOV,Для женщин,1.6 г,Родированное серебро,925,Родирование,Эмаль,,1 шт,,0.48 карат,,,,,,,,,,,,1980,4390,11,6 мм,6 мм,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,017100,SOKOLOV,Для женщин,2.21 г,Красное золото,585,"Алмазная грань,  Родирование",Без вставок,,,,,,,,,,,,,,,,31500,69990,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,1012112-3,SOKOLOV,Для женщин,1.14 г,Белое золото,585,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.008 карат,2,3,А,,,,,,,,,14400,47990,11,2 мм,4 мм,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,94010698,SOKOLOV,Для женщин,1.52 г,Родированное серебро,925,,Фианит,Круг,1 шт,Бесцветный,0.066 карат,,,,Фианит,Круг,6 шт,Бесцветный,0.051 карат,,,,2070,4590,11,,,,,2 мм,,,,,,,,,,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,94110027,SOKOLOV,Для женщин,3.02 г,Родированное серебро,925,,Фианит,Круг,31 шт,Бесцветный,0.884 карат,,,,,,,,,,,,2160,4790,11,,,,,"1, 5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,95010092,SOKOLOV,Для мужчин,5.36 г,Чернёное серебро,925,,Наношпинель,Квадрат,1 шт,Чёрный,2.741 карат,,,,,,,,,,,,5400,11990,11,,,,,11 мм * 11 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,1011906,SOKOLOV,Для женщин,1.2 г,Красное золото,585,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.036 карат,3,6,,,,,,,,,,30600,67990,11,2 мм,2 мм,3 мм,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,1011911,SOKOLOV,Для женщин,1.28 г,Красное золото,585,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.14 карат,3,7,,,,,,,,,,83250,184990,11,2 мм,4 мм,4 мм,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,94011142,SOKOLOV,Для женщин,1.64 г,Родированное серебро,925,Эмаль,Фианит,Круг,1 шт,Бесцветный,0.066 карат,,,,Эмаль,,1 шт,,0.48 карат,,,,2520,5590,11,,,,,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
